key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
f,7.28399992,Type,1,0,5,0,1,4,type,Django,001,2020-06-05_15h13.36.451,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,Django,001,2020-06-05_15h13.36.451,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,Django,001,2020-06-05_15h13.36.451,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,Django,001,2020-06-05_15h13.36.451,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,Django,001,2020-06-05_15h13.36.451,inputText,3.1.3,60
