key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,9.49000001,type,1,0,5,0,1,4,type,1,001,2020-11-18_14h51.08.916,inputText,3.1.3,60
,,thisapostroph,1,0,5,1,1,4,this,1,001,2020-11-18_14h51.08.916,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,1,001,2020-11-18_14h51.08.916,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,1,001,2020-11-18_14h51.08.916,inputText,3.1.3,60
