key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
return,3.52699995,,1,0,5,0,1,4,type,11,001,2020-05-30_14h33.09.391,inputText,3.1.3,60
,,tpye,1,0,5,1,1,4,this,11,001,2020-05-30_14h33.09.391,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,11,001,2020-05-30_14h33.09.391,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,11,001,2020-05-30_14h33.09.391,inputText,3.1.3,60
,,titlenne,1,0,5,4,1,4,Titlecase,11,001,2020-05-30_14h33.09.391,inputText,3.1.3,60
