key_resp.keys,key_resp.rt,typedWord,participant,session,date,expName,psychopyVersion,frameRate
space,6.876000166,type,1,001,2019-09-24_13h40.14.251,inputText,3.1.3,60
,,this,1,001,2019-09-24_13h40.14.251,inputText,3.1.3,60
,,,1,001,2019-09-24_13h40.14.251,inputText,3.1.3,60
,,,1,001,2019-09-24_13h40.14.251,inputText,3.1.3,60
,,se,1,001,2019-09-24_13h40.14.251,inputText,3.1.3,60
