key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,12.05400014,type,1,0,5,0,1,4,type,null,001,2020-05-15_15h59.35.318,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,null,001,2020-05-15_15h59.35.318,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,null,001,2020-05-15_15h59.35.318,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,null,001,2020-05-15_15h59.35.318,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,null,001,2020-05-15_15h59.35.318,inputText,3.1.3,60
