key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,15.83799982,type ,1,0,5,0,1,4,type,000,001,2020-06-17_16h42.25.456,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,000,001,2020-06-17_16h42.25.456,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,000,001,2020-06-17_16h42.25.456,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,000,001,2020-06-17_16h42.25.456,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,000,001,2020-06-17_16h42.25.456,inputText,3.1.3,60
