key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
return,5.050000191,,1,0,5,0,1,4,type,颠三倒四,001,2020-06-01_19h41.19.242,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,颠三倒四,001,2020-06-01_19h41.19.242,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,颠三倒四,001,2020-06-01_19h41.19.242,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,颠三倒四,001,2020-06-01_19h41.19.242,inputText,3.1.3,60
,,titlcase,1,0,5,4,1,4,Titlecase,颠三倒四,001,2020-06-01_19h41.19.242,inputText,3.1.3,60
