key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,11.37299991, target,1,0,5,0,1,4,type,01,001,2020-09-15_09h31.27.158,inputText,3.1.3,60
,,t,1,0,5,1,1,4,this,01,001,2020-09-15_09h31.27.158,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,01,001,2020-09-15_09h31.27.158,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,01,001,2020-09-15_09h31.27.158,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,01,001,2020-09-15_09h31.27.158,inputText,3.1.3,60
