key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,21.10499978,type,1,0,5,0,1,4,type,ddd,001,2021-01-02_18h47.40.471,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,ddd,001,2021-01-02_18h47.40.471,inputText,3.1.3,60
