key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
j,227.927,type,1,0,5,0,1,4,type,面包,001,2020-10-21_18h46.26.200,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,面包,001,2020-10-21_18h46.26.200,inputText,3.1.3,60
,,rd,1,0,5,2,1,4,word,面包,001,2020-10-21_18h46.26.200,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,面包,001,2020-10-21_18h46.26.200,inputText,3.1.3,60
,,tilecase,1,0,5,4,1,4,Titlecase,面包,001,2020-10-21_18h46.26.200,inputText,3.1.3,60
