key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,11.61800003,type,1,0,5,0,1,4,type,352,001,2020-04-16_10h35.47.542,inputText,3.1.3,60
,, this,1,0,5,1,1,4,this,352,001,2020-04-16_10h35.47.542,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,352,001,2020-04-16_10h35.47.542,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,352,001,2020-04-16_10h35.47.542,inputText,3.1.3,60
,,titlesee,1,0,5,4,1,4,Titlecase,352,001,2020-04-16_10h35.47.542,inputText,3.1.3,60
