key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,22.03600001,type,1,0,5,0,1,4,type,lee,001,2020-07-13_08h52.19.888,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,lee,001,2020-07-13_08h52.19.888,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,lee,001,2020-07-13_08h52.19.888,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,lee,001,2020-07-13_08h52.19.888,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,lee,001,2020-07-13_08h52.19.888,inputText,3.1.3,60
