key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,14.79699993,this is a way that you  can type words in a text box in pythoncomma this is pretty coolcomma but looks really freaking gross ,1,0,5,0,1,4,type,1,001,2020-11-30_12h31.15.798,inputText,3.1.3,60
,,target word ,1,0,5,1,1,4,this,1,001,2020-11-30_12h31.15.798,inputText,3.1.3,60
,,word ,1,0,5,2,1,4,word,1,001,2020-11-30_12h31.15.798,inputText,3.1.3,60
,,in ,1,0,5,3,1,4,in,1,001,2020-11-30_12h31.15.798,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,1,001,2020-11-30_12h31.15.798,inputText,3.1.3,60
