key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,18.34299994,type,1,0,5,0,1,4,type,bob,001,2020-05-11_17h57.46.028,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,bob,001,2020-05-11_17h57.46.028,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,bob,001,2020-05-11_17h57.46.028,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,bob,001,2020-05-11_17h57.46.028,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,bob,001,2020-05-11_17h57.46.028,inputText,3.1.3,60
