key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
k,1.64199996,type,1,0,5,0,1,4,type,,001,2020-11-23_20h18.53.866,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,,001,2020-11-23_20h18.53.866,inputText,3.1.3,60
