key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,18.3039999, kk,1,0,5,0,1,4,type,hello,001,2020-04-06_11h49.16.300,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,hello,001,2020-04-06_11h49.16.300,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,hello,001,2020-04-06_11h49.16.300,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,hello,001,2020-04-06_11h49.16.300,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,hello,001,2020-04-06_11h49.16.300,inputText,3.1.3,60
