key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,21.11300015, ,1,0,5,0,1,4,type,0,001,2020-05-18_22h11.48.943,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,0,001,2020-05-18_22h11.48.943,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,0,001,2020-05-18_22h11.48.943,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,0,001,2020-05-18_22h11.48.943,inputText,3.1.3,60
,,,1,0,5,4,1,4,Titlecase,0,001,2020-05-18_22h11.48.943,inputText,3.1.3,60
