key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,7.743999958,sj,1,0,5,0,1,4,type,yanfei,001,2020-04-13_17h41.46.412,inputText,3.1.3,60
,, this,1,0,5,1,1,4,this,yanfei,001,2020-04-13_17h41.46.412,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,yanfei,001,2020-04-13_17h41.46.412,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,yanfei,001,2020-04-13_17h41.46.412,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,yanfei,001,2020-04-13_17h41.46.412,inputText,3.1.3,60
