key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,11.44400001,tzpe,1,0,5,0,1,4,type,gghhkj,001,2020-07-03_13h28.26.655,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,gghhkj,001,2020-07-03_13h28.26.655,inputText,3.1.3,60
,,rd,1,0,5,2,1,4,word,gghhkj,001,2020-07-03_13h28.26.655,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,gghhkj,001,2020-07-03_13h28.26.655,inputText,3.1.3,60
,,gggg,1,0,5,4,1,4,Titlecase,gghhkj,001,2020-07-03_13h28.26.655,inputText,3.1.3,60
