key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,10.39899993,type,1,0,5,0,1,4,type,jhg,001,2020-10-16_17h10.49.597,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,jhg,001,2020-10-16_17h10.49.597,inputText,3.1.3,60
,,d,1,0,5,2,1,4,word,jhg,001,2020-10-16_17h10.49.597,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,jhg,001,2020-10-16_17h10.49.597,inputText,3.1.3,60
,,,1,0,5,4,1,4,Titlecase,jhg,001,2020-10-16_17h10.49.597,inputText,3.1.3,60
