key_resp.keys,key_resp.rt,typedWord,participant,session,date,expName,psychopyVersion,frameRate
m,6.293000221,type,,001,2019-09-14_11h15.04.761,inputText,3.1.3,60
,,this,,001,2019-09-14_11h15.04.761,inputText,3.1.3,60
,,word,,001,2019-09-14_11h15.04.761,inputText,3.1.3,60
,,in,,001,2019-09-14_11h15.04.761,inputText,3.1.3,60
,,fasdf,,001,2019-09-14_11h15.04.761,inputText,3.1.3,60
