key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,10.98199987, type,1,0,5,0,1,4,type,fra,001,2020-10-10_12h53.24.904,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,fra,001,2020-10-10_12h53.24.904,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,fra,001,2020-10-10_12h53.24.904,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,fra,001,2020-10-10_12h53.24.904,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,fra,001,2020-10-10_12h53.24.904,inputText,3.1.3,60
