key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,22.26499987,type,1,0,5,0,1,4,type,sam,001,2020-06-05_13h52.40.450,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,sam,001,2020-06-05_13h52.40.450,inputText,3.1.3,60
,,this,1,0,5,2,1,4,word,sam,001,2020-06-05_13h52.40.450,inputText,3.1.3,60
,,icommas,1,0,5,3,1,4,in,sam,001,2020-06-05_13h52.40.450,inputText,3.1.3,60
,,uslashd,1,0,5,4,1,4,Titlecase,sam,001,2020-06-05_13h52.40.450,inputText,3.1.3,60
