key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,9.008999825, type,1,0,5,0,1,4,type,Surabhi Lodha,001,2020-07-25_18h30.41.544,inputText,3.1.3,60
,, this,1,0,5,1,1,4,this,Surabhi Lodha,001,2020-07-25_18h30.41.544,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,Surabhi Lodha,001,2020-07-25_18h30.41.544,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,Surabhi Lodha,001,2020-07-25_18h30.41.544,inputText,3.1.3,60
,, titlecase,1,0,5,4,1,4,Titlecase,Surabhi Lodha,001,2020-07-25_18h30.41.544,inputText,3.1.3,60
