key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,8.215000153,type,1,0,5,0,1,4,type,egrbgdfb,001,2020-06-16_11h25.39.897,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,egrbgdfb,001,2020-06-16_11h25.39.897,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,egrbgdfb,001,2020-06-16_11h25.39.897,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,egrbgdfb,001,2020-06-16_11h25.39.897,inputText,3.1.3,60
,,ecse,1,0,5,4,1,4,Titlecase,egrbgdfb,001,2020-06-16_11h25.39.897,inputText,3.1.3,60
