key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
return,28.25300002,type,1,0,5,0,1,4,type,D019,001,2020-07-22_14h45.02.742,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,D019,001,2020-07-22_14h45.02.742,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,D019,001,2020-07-22_14h45.02.742,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,D019,001,2020-07-22_14h45.02.742,inputText,3.1.3,60
