key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,13.28600001, type the target word  belowcomma and press return,1,0,5,0,1,4,type,laura,001,2020-07-03_06h31.28.989,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,laura,001,2020-07-03_06h31.28.989,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,laura,001,2020-07-03_06h31.28.989,inputText,3.1.3,60
,,n,1,0,5,3,1,4,in,laura,001,2020-07-03_06h31.28.989,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,laura,001,2020-07-03_06h31.28.989,inputText,3.1.3,60
