trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,prompt,instText.started,instText.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,targetInstr.started,targetInstr.stopped,targetText.started,targetText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.139761375001399,None,['space'],[1.425116500002332],11.139761375001399,None,,,,,Ann2,001,2021_Mar_19_1827,inputText,2021.1.2,59.914427341776005,
,,,,,,,,,,,12.608046958004707,None,12.608046958004707,None,,,,,,,
