key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,11.00400019, jjj,1,0,5,0,1,4,type,E018,001,2020-07-21_08h36.52.916,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,E018,001,2020-07-21_08h36.52.916,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,E018,001,2020-07-21_08h36.52.916,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,E018,001,2020-07-21_08h36.52.916,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,E018,001,2020-07-21_08h36.52.916,inputText,3.1.3,60
