key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,9.166000128,  type,1,0,5,0,1,4,type,Vera,001,2020-07-22_17h19.05.905,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,Vera,001,2020-07-22_17h19.05.905,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,Vera,001,2020-07-22_17h19.05.905,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,Vera,001,2020-07-22_17h19.05.905,inputText,3.1.3,60
,,,1,0,5,4,1,4,Titlecase,Vera,001,2020-07-22_17h19.05.905,inputText,3.1.3,60
