key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,2.031000137,hallocomma world,1,0,5,0,1,4,type,,001,2020-11-23_20h45.54.369,inputText,3.1.3,60
,,goodbye world,1,0,5,1,1,4,this,,001,2020-11-23_20h45.54.369,inputText,3.1.3,60
,,hallo again,1,0,5,2,1,4,word,,001,2020-11-23_20h45.54.369,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,,001,2020-11-23_20h45.54.369,inputText,3.1.3,60
,,Capslock,1,0,5,4,1,4,Titlecase,,001,2020-11-23_20h45.54.369,inputText,3.1.3,60
