key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,13.227,type,1,0,5,0,1,4,type,Clara,001,2020-05-04_11h17.21.036,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,Clara,001,2020-05-04_11h17.21.036,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,Clara,001,2020-05-04_11h17.21.036,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,Clara,001,2020-05-04_11h17.21.036,inputText,3.1.3,60
,,titlecase,1,0,5,4,1,4,Titlecase,Clara,001,2020-05-04_11h17.21.036,inputText,3.1.3,60
