key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,1.159999847,type,1,0,5,0,1,4,type,,001,2020-06-29_11h54.24.842,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,,001,2020-06-29_11h54.24.842,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,,001,2020-06-29_11h54.24.842,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,,001,2020-06-29_11h54.24.842,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,,001,2020-06-29_11h54.24.842,inputText,3.1.3,60
