key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
return,31.1559999,,1,0,5,0,1,4,type,kbkb,001,2020-06-19_12h22.34.337,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,kbkb,001,2020-06-19_12h22.34.337,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,kbkb,001,2020-06-19_12h22.34.337,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,kbkb,001,2020-06-19_12h22.34.337,inputText,3.1.3,60
,,,1,0,5,4,1,4,Titlecase,kbkb,001,2020-06-19_12h22.34.337,inputText,3.1.3,60
