key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,9.60800004,type,1,0,5,0,1,4,type,99,001,2020-06-20_14h20.35.860,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,99,001,2020-06-20_14h20.35.860,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,99,001,2020-06-20_14h20.35.860,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,99,001,2020-06-20_14h20.35.860,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,99,001,2020-06-20_14h20.35.860,inputText,3.1.3,60
