key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,10.54399991,type,1,0,5,0,1,4,type,t,001,2020-04-04_13h39.31.107,inputText,3.1.3,60
,,this,1,0,5,1,1,4,this,t,001,2020-04-04_13h39.31.107,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,t,001,2020-04-04_13h39.31.107,inputText,3.1.3,60
,,in,1,0,5,3,1,4,in,t,001,2020-04-04_13h39.31.107,inputText,3.1.3,60
,,Titlecase,1,0,5,4,1,4,Titlecase,t,001,2020-04-04_13h39.31.107,inputText,3.1.3,60
