key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,12.69599986,tyoe,1,0,5,0,1,4,type,0,001,2020-05-22_17h24.03.224,inputText,3.1.3,60
,,u,1,0,5,1,1,4,this,0,001,2020-05-22_17h24.03.224,inputText,3.1.3,60
,,jhghg,1,0,5,2,1,4,word,0,001,2020-05-22_17h24.03.224,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,0,001,2020-05-22_17h24.03.224,inputText,3.1.3,60
,,iiiu,1,0,5,4,1,4,Titlecase,0,001,2020-05-22_17h24.03.224,inputText,3.1.3,60
