key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,5.312999964,type,1,0,5,0,1,4,type,no\,001,2020-11-11_17h46.51.377,inputText,3.1.3,60
,,,1,0,5,1,1,4,this,no\,001,2020-11-11_17h46.51.377,inputText,3.1.3,60
,,word,1,0,5,2,1,4,word,no\,001,2020-11-11_17h46.51.377,inputText,3.1.3,60
,,oe,1,0,5,3,1,4,in,no\,001,2020-11-11_17h46.51.377,inputText,3.1.3,60
,,ble,1,0,5,4,1,4,Titlecase,no\,001,2020-11-11_17h46.51.377,inputText,3.1.3,60
